year,index_name,asset_id,export_description,export_status,scale,crs,notes
2015,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2015,FVC_2015,submitted,30,EPSG:4326,Submitted task ID: C6KXGYTSCKO4RN2FMTA52WWM
2015,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2015,NIRv_2015,submitted,30,EPSG:4326,Submitted task ID: FZE4EP7UNLTSE3HTLM4UNFK7
2016,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2016,NDVI_2016,submitted,30,EPSG:4326,Submitted task ID: MLAWI5H4V7XBOJC23CXLIC3G
2016,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2016,FVC_2016,submitted,30,EPSG:4326,Submitted task ID: 5XKA6ZWQDFVXVQITQC6MKM5V
2016,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2016,NIRv_2016,submitted,30,EPSG:4326,Submitted task ID: MVLSZQCNCAGMBJPQKU3EBK52
2017,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2017,NDVI_2017,submitted,30,EPSG:4326,Submitted task ID: 3CPN4FYYSC3OY7R7NVXL6YEG
2017,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2017,FVC_2017,submitted,30,EPSG:4326,Submitted task ID: OMM3AVHAGKZWPUPDCIZXPC26
2017,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2017,NIRv_2017,submitted,30,EPSG:4326,Submitted task ID: LIONFCHXJUKXSKL6OFE2P4YC
2018,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2018,NDVI_2018,submitted,30,EPSG:4326,Submitted task ID: 556AM7KV5PNH2AWUAVXNW72E
2018,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2018,FVC_2018,submitted,30,EPSG:4326,Submitted task ID: BIS7Y7NA2ZE6XRV74Y2JAVO7
2018,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2018,NIRv_2018,submitted,30,EPSG:4326,Submitted task ID: 5YRGRFFHX6TZ6VWDMDAOTW73
2019,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2019,NDVI_2019,submitted,30,EPSG:4326,Submitted task ID: E5L32PQNYRKAYSF24DVUDRQU
2019,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2019,FVC_2019,submitted,30,EPSG:4326,Submitted task ID: D5CYDEPK4KFUFKJN2LMFUMAW
