year,forest_type,NDVI_mean,NDVI_median,FVC_mean,FVC_median,FVC_std,NIRv_mean,NIRv_median,NIRv_std,valid_pixel_count,valid_area_km2
2017,natural_forest,0.81768,0.847794,0.852786,0.933648,0.204123,0.261987,0.267584,0.056248,16333888,14700.4992
2017,plantation_forest,0.754994,0.785199,0.694425,0.769551,0.259107,0.240422,0.248053,0.06075,12734517,11461.0653
2018,all_forest,0.784078,0.824325,0.768036,0.871131,0.256678,0.241567,0.248049,0.060298,29068542,26161.6878
2018,natural_forest,0.813062,0.847827,0.84187,0.933664,0.214706,0.250179,0.255862,0.056151,16334025,14700.6225
2018,plantation_forest,0.746899,0.777365,0.673329,0.73828,0.274407,0.230519,0.236332,0.063546,12734517,11461.0653
2019,all_forest,0.784743,0.824327,0.769086,0.871135,0.250714,0.250434,0.259777,0.059022,29068433,26161.5897
2019,natural_forest,0.816564,0.847842,0.850305,0.933669,0.205807,0.262429,0.267587,0.054358,16333916,14700.5244
2019,plantation_forest,0.743926,0.769559,0.664905,0.73048,0.264271,0.235049,0.244146,0.061159,12734517,11461.0653
2020,all_forest,0.770859,0.808668,0.73402,0.832053,0.2645,0.236848,0.244145,0.059238,29068529,26161.6761
2020,natural_forest,0.802308,0.832164,0.814048,0.902403,0.22362,0.247742,0.251957,0.054714,16334012,14700.6108
2020,plantation_forest,0.730519,0.753925,0.631367,0.691413,0.277133,0.222874,0.228519,0.061828,12734517,11461.0653
2021,all_forest,0.789124,0.824327,0.779484,0.878952,0.241427,0.244117,0.248048,0.060588,29068544,26161.6896
2021,natural_forest,0.816794,0.847836,0.850753,0.933666,0.201225,0.2515,0.255862,0.057036,16334027,14700.6243
2021,plantation_forest,0.753631,0.777365,0.688065,0.746092,0.25737,0.234647,0.236327,0.063615,12734517,11461.0653
2022,all_forest,0.808397,0.839977,0.827812,0.910207,0.210495,0.257957,0.263677,0.057346,29068544,26161.6896
2022,natural_forest,0.831641,0.85562,0.885637,0.957087,0.177979,0.266127,0.271488,0.056765,16334027,14700.6243
2022,plantation_forest,0.778581,0.808642,0.753638,0.824231,0.225207,0.247477,0.255861,0.056374,12734517,11461.0653
2023,all_forest,0.780402,0.808679,0.757982,0.832065,0.223999,0.231272,0.232425,0.054932,29068538,26161.6842
2023,natural_forest,0.806516,0.832164,0.825626,0.894579,0.192316,0.238656,0.240234,0.054913,16334021,14700.6189
2023,plantation_forest,0.746906,0.769567,0.671213,0.730473,0.231723,0.221799,0.224612,0.053484,12734517,11461.0653
2024,all_forest,0.790809,0.82431,0.784135,0.863314,0.23151,0.243864,0.248052,0.057275,29068543,26161.6887
2024,natural_forest,0.815683,0.84782,0.846891,0.92584,0.204561,0.25262,0.255859,0.056775,16334027,14700.6243
2024,plantation_forest,0.758902,0.785188,0.703638,0.76954,0.239036,0.232632,0.240244,0.055935,12734516,11461.0644
