forest_type,FVC_slope_mean,FVC_slope_median,EQI_slope_mean,EQI_slope_median,FVC_positive_area_km2,FVC_negative_area_km2,EQI_positive_area_km2,EQI_negative_area_km2,FVC_significant_positive_area_km2,FVC_significant_negative_area_km2,EQI_significant_positive_area_km2,EQI_significant_negative_area_km2
all_forest,0.01221695554467891,0.010007545151178977,0.00019714537847904986,0.00018309252242016183,22607.599716102315,1566.128747636453,13880.423873675141,10107.35368909828,18934.15916668126,362.6383538204795,5452.425902871594,3612.2673745728225
natural_forest,0.01029257442709716,0.007564082323747164,0.00028179003073053717,0.00030510170763765594,13138.337296106385,507.98602165383176,8330.99759953794,5192.727084593733,11240.843728819498,105.51021944194503,3157.5091118560167,1575.0417987800388
plantation_forest,0.014685398632714732,0.013915889920936564,8.780843048276265e-05,6.102962559529646e-05,9469.262419995932,1058.1427259826228,5549.426274137205,4914.626604504556,7693.315437861781,257.12813437853447,2294.916791015578,2037.2255757927821
